shop_id,cuisine,scene_tags,ambience_tags,queue_level,summary
20,"日料,怀石","约会,商务","安静,景观",HIGH,钱江新城高端日料，主打会席料理和寿司。食材每日从日本空运，环境私密典雅，适合商务宴请和纪念日约会。板前座位可观看主厨现场料理。人均380元，性价比在同类中突出。
21,"日料,寿司","约会,朋友聚餐","简约,浪漫",MEDIUM,湖滨银泰人气日料店，招牌三文鱼刺身和鹅肝寿司广受好评。日式简约装修，氛围轻松，适合年轻情侣和朋友小聚。午市定食性价比高，晚市单菜品控稳定。
22,"日料,居酒屋","朋友聚餐,独自用餐","热闹,复古",LOW,滨江天街的日式居酒屋风格餐厅，主打串烧和刺身。墙上贴满日式海报和手写菜单，氛围感十足。适合下班后独自小酌或三五好友聚会，价格亲民。
23,"日料,烧鸟","夜宵,朋友聚餐","热闹,复古",MEDIUM,中山中路的深夜食堂，营业至凌晨2点。招牌烧鸟串和梅子酒是夜宵标配，复古日式装修仿佛置身东京小巷。年轻人扎堆，等位常见，建议提前电话预约。
24,"日料,鳗鱼饭","独自用餐,家庭聚餐","简约,安静",LOW,城西银泰的鳗鱼专门店，选用活鳗现杀现烤。鳗鱼饭三吃是招牌，外焦里嫩酱汁浓郁。环境安静整洁，一人食或家庭简餐都很合适。
25,"日料,铁板烧","约会,商务","安静,包间",HIGH,黄龙饭店内的日式铁板烧，主厨桌边现场烹饪。和牛和龙虾是招牌，用餐体验极具仪式感。包间私密性好，商务宴请或求婚约会首选。
26,"日料,自助","朋友聚餐,家庭聚餐","热闹,简约",MEDIUM,下沙龙湖的人气日料自助，200元出头畅吃。三文鱼、甜虾、北极贝无限量，性价比极高。环境简约明亮，适合学生党和家庭聚餐，周末排队较长。
27,"日料,烧肉","朋友聚餐,家庭聚餐","热闹,包间",MEDIUM,余杭万达的日式烧肉店，主打M9和牛和牛舌。桌边配有排烟系统，吃完身上没异味。有包间可容纳8-10人，家庭聚餐和朋友聚会都很合适。
28,"火锅,川味","朋友聚餐,夜宵","热闹,复古",HIGH,武林路老牌川味火锅，营业至凌晨2点。红油锅底香辣浓郁，毛肚和鹅肠是必点。装修偏复古川西风格，氛围热闹，等位1小时起步，建议错峰用餐。
29,"火锅,重庆","朋友聚餐,家庭聚餐","热闹,简约",MEDIUM,湖滨in77的重庆老火锅，九宫格锅底是招牌。菜品新鲜分量足，价格适中。环境现代简约，适合年轻人聚会，高峰期排队约40分钟。
30,"火锅,台式","约会,朋友聚餐","安静,浪漫",HIGH,来福士的台式火锅，招牌花胶鸡和胡椒猪肚鸡锅底。环境轻奢有格调，适合约会和商务宴请。菜品精致，服务周到，等位时间较长建议提前取号。
31,"火锅,四川","朋友聚餐,家庭聚餐","热闹,包间",MEDIUM,滨江星光大道的四川火锅，装修古色古香。麻辣锅底醇厚，食材新鲜。有包间适合家庭聚餐，平时排队约30-50分钟，性价比不错。
32,"火锅,重庆","朋友聚餐,夜宵","热闹,复古",HIGH,城西银泰的重庆老火锅，牛油锅底浓郁香气扑鼻。招牌毛肚和鸭肠是必点，装修怀旧风。夜宵时段人气火爆，建议提前2小时取号。
33,"火锅,粤式","家庭聚餐,商务","安静,包间",MEDIUM,西溪印象城的粤式火锅，主打猪肚鸡和煲仔饭。汤底鲜美可以喝，适合家庭和商务宴请。环境雅致有包间，服务细致，等位约30分钟。
34,"火锅,重庆","朋友聚餐,家庭聚餐","热闹,简约",LOW,萧山万象汇的重庆火锅，价格亲民分量大。麻辣锅底和番茄锅底都很受欢迎，环境干净明亮，排队情况不严重，适合日常家庭聚餐。
35,"火锅,毛肚","朋友聚餐,商务","热闹,包间",HIGH,庆春银泰的毛肚火锅专门店，毛肚从重庆空运。菌汤锅底鲜美，涮毛肚7上8下口感最佳。装修现代有包间，适合商务请客，等位约1小时。
36,"西餐,牛排","约会,商务","安静,浪漫",HIGH,湖滨银泰的高端西餐，招牌台塑牛排和鹅肝。环境暗调浪漫，适合纪念日约会和商务宴请。服务管家式，餐前面包和甜品都精致，人均350元。
37,"西餐,牛排","约会,朋友聚餐","安静,浪漫",MEDIUM,万象城的人气西餐厅，牛排熟成工艺出色。环境简约浪漫，窗边景观位可看钱江新城夜景。性价比在同类中突出，适合情侣约会和闺蜜聚餐。
38,"西餐,汉堡","朋友聚餐,独自用餐","热闹,简约",LOW,嘉里中心的精品汉堡店，牛肉饼现点现煎。招牌芝士瀑布汉堡是网红款，搭配奶昔和薯条。美式工业风装修，轻松随意，无需等位。
39,"西餐,美式","朋友聚餐,夜宵","热闹,景观",MEDIUM,城西银泰的美式西餐厅，全天供应早午餐和鸡尾酒。户外露台景观好，周末brunch人气高。汉堡和意面分量大，适合朋友聚餐，晚间有乐队驻唱。
40,"西餐,牛排","家庭聚餐,独自用餐","简约,安静",LOW,滨江龙湖的平价牛排馆，主打100元左右的套餐。牛排搭配自助沙拉吧，性价比高。环境简洁干净，家庭聚餐和一人食都很合适，基本不排队。
41,"西餐,牛排","约会,商务","安静,包间",MEDIUM,黄龙万科中心的精品牛排馆，澳洲和牛是招牌。环境现代有格调，设有包间适合商务宴请。干式熟成工艺突出牛肉本味，人均185元物有所值。
42,"西餐,牛排","家庭聚餐,朋友聚餐","简约,安静",LOW,临平银泰的牛排餐厅，家庭友好型。儿童餐和家庭套餐选择丰富，环境明亮宽敞。牛排套餐性价比高，周边居民常光顾，无需长时间等位。
43,"港式,粤菜","商务,家庭聚餐","安静,包间",HIGH,杭州大厦的经典粤菜，米其林水准。脆皮烧鹅和虾饺皇是招牌，环境奢华大气。包间需提前一周预订，商务宴请和家庭重要聚餐首选。
44,"港式,粤菜","商务,约会","安静,包间,景观",HIGH,钱江新城的高端粤菜，招牌鲍鱼和龙虾。环境典雅，包间可看江景。服务细致入微，食材新鲜精致，商务宴请和重要约会的不二之选，需提前预订。
45,"港式,茶餐厅","朋友聚餐,家庭聚餐","热闹,简约",MEDIUM,城西银泰的港式茶餐厅，烧味和菠萝包是招牌。环境热闹接地气，港风装修适合拍照。价格实惠分量足，朋友小聚或家庭便饭很合适，高峰期略需等位。
46,"港式,茶餐厅","朋友聚餐,独自用餐","热闹,复古",MEDIUM,湖滨银泰的港式茶餐厅，丝袜奶茶和黯然销魂饭是招牌。复古港风装修很有氛围，年轻人打卡多。价格适中，一人食或朋友聚餐都合适。
47,"港式,冰室","朋友聚餐,独自用餐","热闹,复古",LOW,西溪天街的港式冰室，怀旧风装修。招牌叉烧饭和冻柠茶是标配，价格便宜人均90元。环境热闹有烟火气，周边上班族和学生常光顾。
48,"烤肉,韩式","朋友聚餐,家庭聚餐","热闹,包间",MEDIUM,滨江宝龙的韩式烤肉，黑牛牛肉是招牌。配菜无限续，服务帮烤。环境韩风装修，有包间适合多人聚会，性价比高，周末需等位30-40分钟。
49,"烤肉,韩式","朋友聚餐,夜宵","热闹,复古",HIGH,湖滨银泰的韩式烤肉，明星同款。招牌五花肉和牛舌必点，韩式复古装修适合拍照。等位1小时常见，夜宵时段人气更高，建议提前取号。
